timestamp,Weather_Temperature_Celsius,Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Active_Power
2018-04-24 10:00:00,27.059999465942,15.21,566.78784179688,103.56,315.83892822266
2018-04-24 11:00:00,28.643333435059,13.96,707.3095703125,73.39,268.93395996094
2018-04-24 12:00:00,29.883333206177,13.59,819.35235595703,120.15,253.62577819824
2018-04-24 13:00:00,30.343332290649,13.66,816.31115722656,61.9,333.49444580078
2018-04-24 14:00:00,31.736665725708,14.0,763.81182861328,95.83,365.44107055664
2018-04-24 15:00:00,32.293334960938,14.7,647.30432128906,50.08,439.22924804688
2018-04-24 16:00:00,32.686668395996,15.92,495.07696533203,18.98,489.90396118164
2018-04-25 08:00:00,19.99666595459,26.98,88.567108154297,155.85,80.647903442383
2018-04-25 09:00:00,23.536666870117,19.8,347.05075073242,163.72,318.35244750977
2018-04-25 10:00:00,26.799999237061,17.43,563.48785400391,189.21,293.48190307617
2018-04-25 11:00:00,28.516666412354,16.76,806.14477539062,271.83,314.13876342773
2018-04-25 12:00:00,30.243333816528,16.83,915.06304931641,331.85,317.98187255859
2018-04-25 13:00:00,31.360000610352,17.68,793.98193359375,199.44,317.89749145508
2018-04-25 14:00:00,31.876667022705,19.36,374.36236572266,224.3,312.72052001953
2018-04-25 15:00:00,32.75,21.2,686.73156738281,145.13,308.40496826172
2018-04-25 16:00:00,33.073333740234,22.85,564.94085693359,26.79,317.8069152832
2018-04-26 08:00:00,20.89999961853,47.66,24.910087585449,119.01,23.910648345947
2018-04-26 09:00:00,21.656667709351,43.25,167.80686950684,195.08,176.17735290527
2018-04-26 10:00:00,22.613334655762,38.65,283.31262207031,273.05,284.69943237305
2018-04-26 11:00:00,22.696666717529,34.75,163.25296020508,261.98,167.35545349121
2018-04-26 12:00:00,22.373332977295,31.91,200.76132202148,167.2,203.29275512695
2018-04-26 13:00:00,23.15333366394,30.04,165.94253540039,95.41,173.69979858398
2018-04-26 14:00:00,23.786666870117,30.47,168.79811096191,111.2,168.1994934082
2018-04-26 15:00:00,24.140001296997,30.99,154.10189819336,59.68,152.38395690918
2018-04-26 16:00:00,24.223333358765,32.19,129.96856689453,12.62,126.44681549072
2018-04-27 08:00:00,17.263332366943,31.47,130.96618652344,106.87,139.42945861816
2018-04-27 09:00:00,20.773332595825,24.38,346.46893310547,70.15,215.16287231445
